iter	Passed	Remaining
0	52	52300
1	53	26488
2	53	17857
3	54	13543
4	55	10956
5	55	9226
6	56	8009
7	57	7081
8	57	6354
9	58	5783
10	59	5314
11	59	4926
12	60	4597
13	61	4318
14	61	4066
15	62	3844
16	63	3655
17	63	3478
18	64	3314
19	64	3166
20	65	3032
21	65	2911
22	65	2799
23	66	2698
24	66	2603
25	67	2516
26	67	2435
27	67	2359
28	68	2289
29	68	2224
30	69	2163
31	69	2105
32	70	2053
33	70	2002
34	70	1954
35	71	1909
36	71	1868
37	72	1829
38	72	1791
39	73	1755
40	73	1721
41	74	1688
42	74	1658
43	75	1630
44	75	1602
45	75	1574
46	76	1550
47	77	1527
48	77	1507
49	78	1487
50	78	1468
51	79	1448
52	80	1432
53	80	1418
54	81	1400
55	82	1382
56	82	1365
57	82	1347
58	83	1330
59	83	1313
60	84	1297
61	84	1281
62	85	1265
63	85	1251
64	86	1238
65	86	1224
66	86	1211
67	87	1198
68	87	1186
69	88	1174
70	88	1163
71	89	1152
72	89	1140
73	90	1131
74	90	1121
75	91	1112
76	91	1102
77	92	1093
78	93	1085
79	93	1076
80	94	1067
81	94	1058
82	94	1046
83	95	1037
84	95	1028
85	96	1020
86	96	1014
87	97	1007
88	97	1000
89	98	993
90	98	985
91	99	978
92	99	972
93	100	965
94	100	958
95	101	952
96	101	946
97	102	940
98	102	934
99	103	927
100	103	921
101	104	916
102	104	910
103	104	904
104	105	898
105	105	892
106	106	887
107	106	881
108	107	875
109	107	870
110	108	865
111	108	859
112	108	854
113	109	849
114	109	844
115	110	839
116	110	833
117	110	828
118	111	823
119	111	818
120	112	814
121	112	808
122	112	804
123	113	800
124	113	795
125	114	792
126	114	787
127	114	783
128	115	779
129	115	776
130	116	772
131	116	768
132	117	764
133	117	760
134	118	757
135	118	754
136	119	751
137	119	747
138	120	744
139	120	740
140	120	736
141	121	732
142	121	728
143	122	725
144	122	722
145	122	718
146	123	715
147	123	711
148	124	708
149	124	705
150	124	702
151	125	700
152	125	696
153	126	693
154	126	690
155	127	687
156	127	684
157	127	681
158	128	679
159	128	676
160	129	673
161	129	671
162	130	669
163	130	667
164	131	665
165	132	665
166	132	663
167	133	660
168	133	657
169	134	655
170	134	652
171	135	650
172	135	647
173	135	644
174	136	642
175	136	639
176	137	637
177	137	634
178	137	632
179	138	630
180	138	627
181	139	625
182	139	623
183	139	620
184	140	618
185	140	616
186	141	614
187	141	611
188	142	609
189	142	607
190	143	606
191	143	604
192	144	602
193	144	600
194	144	598
195	145	596
196	145	594
197	146	593
198	146	591
199	147	589
200	147	587
201	148	585
202	148	583
203	148	581
204	149	579
205	149	577
206	150	575
207	150	573
208	150	571
209	151	569
210	151	567
211	152	565
212	152	564
213	153	562
214	153	560
215	153	558
216	154	556
217	154	555
218	155	553
219	155	551
220	156	550
221	156	548
222	157	547
223	157	545
224	157	544
225	158	542
226	158	540
227	159	539
228	159	538
229	160	537
230	160	535
231	161	534
232	161	533
233	162	531
234	163	533
235	164	532
236	165	531
237	165	529
238	165	528
239	166	526
240	166	524
241	167	523
242	167	521
